2018-04-30 04:29:12 startup archives unpack
2018-04-30 04:29:12 install libssl1.0.0:amd64 <none> 1.0.2l-1~bpo8+1
2018-04-30 04:29:12 status half-installed libssl1.0.0:amd64 1.0.2l-1~bpo8+1
2018-04-30 04:29:12 status unpacked libssl1.0.0:amd64 1.0.2l-1~bpo8+1
2018-04-30 04:29:12 status unpacked libssl1.0.0:amd64 1.0.2l-1~bpo8+1
2018-04-30 04:29:12 install libsasl2-modules-db:amd64 <none> 2.1.26.dfsg1-13+deb8u1
2018-04-30 04:29:12 status half-installed libsasl2-modules-db:amd64 2.1.26.dfsg1-13+deb8u1
2018-04-30 04:29:12 status unpacked libsasl2-modules-db:amd64 2.1.26.dfsg1-13+deb8u1
2018-04-30 04:29:12 status unpacked libsasl2-modules-db:amd64 2.1.26.dfsg1-13+deb8u1
2018-04-30 04:29:12 install libsasl2-2:amd64 <none> 2.1.26.dfsg1-13+deb8u1
2018-04-30 04:29:12 status half-installed libsasl2-2:amd64 2.1.26.dfsg1-13+deb8u1
2018-04-30 04:29:12 status unpacked libsasl2-2:amd64 2.1.26.dfsg1-13+deb8u1
2018-04-30 04:29:12 status unpacked libsasl2-2:amd64 2.1.26.dfsg1-13+deb8u1
2018-04-30 04:29:12 install libldap-2.4-2:amd64 <none> 2.4.40+dfsg-1+deb8u3
2018-04-30 04:29:12 status half-installed libldap-2.4-2:amd64 2.4.40+dfsg-1+deb8u3
2018-04-30 04:29:12 status unpacked libldap-2.4-2:amd64 2.4.40+dfsg-1+deb8u3
2018-04-30 04:29:12 status unpacked libldap-2.4-2:amd64 2.4.40+dfsg-1+deb8u3
2018-04-30 04:29:12 install libxml2:amd64 <none> 2.9.1+dfsg1-5+deb8u6
2018-04-30 04:29:12 status half-installed libxml2:amd64 2.9.1+dfsg1-5+deb8u6
2018-04-30 04:29:12 status unpacked libxml2:amd64 2.9.1+dfsg1-5+deb8u6
2018-04-30 04:29:12 status unpacked libxml2:amd64 2.9.1+dfsg1-5+deb8u6
2018-04-30 04:29:12 install libapr1:amd64 <none> 1.5.1-3
2018-04-30 04:29:12 status half-installed libapr1:amd64 1.5.1-3
2018-04-30 04:29:12 status unpacked libapr1:amd64 1.5.1-3
2018-04-30 04:29:12 status unpacked libapr1:amd64 1.5.1-3
2018-04-30 04:29:12 install libexpat1:amd64 <none> 2.1.0-6+deb8u4
2018-04-30 04:29:12 status half-installed libexpat1:amd64 2.1.0-6+deb8u4
2018-04-30 04:29:12 status unpacked libexpat1:amd64 2.1.0-6+deb8u4
2018-04-30 04:29:12 status unpacked libexpat1:amd64 2.1.0-6+deb8u4
2018-04-30 04:29:12 install libaprutil1:amd64 <none> 1.5.4-1
2018-04-30 04:29:12 status half-installed libaprutil1:amd64 1.5.4-1
2018-04-30 04:29:12 status unpacked libaprutil1:amd64 1.5.4-1
2018-04-30 04:29:12 status unpacked libaprutil1:amd64 1.5.4-1
2018-04-30 04:29:12 install liblua5.2-0:amd64 <none> 5.2.3-1.1
2018-04-30 04:29:12 status half-installed liblua5.2-0:amd64 5.2.3-1.1
2018-04-30 04:29:12 status unpacked liblua5.2-0:amd64 5.2.3-1.1
2018-04-30 04:29:12 status unpacked liblua5.2-0:amd64 5.2.3-1.1
2018-04-30 04:29:12 install libsctp1:amd64 <none> 1.0.16+dfsg-2
2018-04-30 04:29:12 status half-installed libsctp1:amd64 1.0.16+dfsg-2
2018-04-30 04:29:12 status unpacked libsctp1:amd64 1.0.16+dfsg-2
2018-04-30 04:29:12 status unpacked libsctp1:amd64 1.0.16+dfsg-2
2018-04-30 04:29:12 install libpcre++0:amd64 <none> 0.9.5-6
2018-04-30 04:29:12 status half-installed libpcre++0:amd64 0.9.5-6
2018-04-30 04:29:12 status unpacked libpcre++0:amd64 0.9.5-6
2018-04-30 04:29:12 status unpacked libpcre++0:amd64 0.9.5-6
2018-04-30 04:29:12 install libc-dev-bin:amd64 <none> 2.19-18+deb8u10
2018-04-30 04:29:12 status half-installed libc-dev-bin:amd64 2.19-18+deb8u10
2018-04-30 04:29:12 status unpacked libc-dev-bin:amd64 2.19-18+deb8u10
2018-04-30 04:29:12 status unpacked libc-dev-bin:amd64 2.19-18+deb8u10
2018-04-30 04:29:12 install linux-libc-dev:amd64 <none> 3.16.51-3+deb8u1
2018-04-30 04:29:12 status half-installed linux-libc-dev:amd64 3.16.51-3+deb8u1
2018-04-30 04:29:13 status unpacked linux-libc-dev:amd64 3.16.51-3+deb8u1
2018-04-30 04:29:13 status unpacked linux-libc-dev:amd64 3.16.51-3+deb8u1
2018-04-30 04:29:13 install libc6-dev:amd64 <none> 2.19-18+deb8u10
2018-04-30 04:29:13 status half-installed libc6-dev:amd64 2.19-18+deb8u10
2018-04-30 04:29:13 status unpacked libc6-dev:amd64 2.19-18+deb8u10
2018-04-30 04:29:13 status unpacked libc6-dev:amd64 2.19-18+deb8u10
2018-04-30 04:29:13 install uuid-dev:amd64 <none> 2.25.2-6
2018-04-30 04:29:13 status half-installed uuid-dev:amd64 2.25.2-6
2018-04-30 04:29:13 status unpacked uuid-dev:amd64 2.25.2-6
2018-04-30 04:29:13 status unpacked uuid-dev:amd64 2.25.2-6
2018-04-30 04:29:13 install libsctp-dev:amd64 <none> 1.0.16+dfsg-2
2018-04-30 04:29:13 status half-installed libsctp-dev:amd64 1.0.16+dfsg-2
2018-04-30 04:29:13 status unpacked libsctp-dev:amd64 1.0.16+dfsg-2
2018-04-30 04:29:13 status unpacked libsctp-dev:amd64 1.0.16+dfsg-2
2018-04-30 04:29:13 install libapr1-dev:amd64 <none> 1.5.1-3
2018-04-30 04:29:13 status half-installed libapr1-dev:amd64 1.5.1-3
2018-04-30 04:29:13 status unpacked libapr1-dev:amd64 1.5.1-3
2018-04-30 04:29:13 status unpacked libapr1-dev:amd64 1.5.1-3
2018-04-30 04:29:13 install libldap2-dev:amd64 <none> 2.4.40+dfsg-1+deb8u3
2018-04-30 04:29:13 status half-installed libldap2-dev:amd64 2.4.40+dfsg-1+deb8u3
2018-04-30 04:29:13 status unpacked libldap2-dev:amd64 2.4.40+dfsg-1+deb8u3
2018-04-30 04:29:13 status unpacked libldap2-dev:amd64 2.4.40+dfsg-1+deb8u3
2018-04-30 04:29:13 install libexpat1-dev:amd64 <none> 2.1.0-6+deb8u4
2018-04-30 04:29:13 status half-installed libexpat1-dev:amd64 2.1.0-6+deb8u4
2018-04-30 04:29:13 status unpacked libexpat1-dev:amd64 2.1.0-6+deb8u4
2018-04-30 04:29:13 status unpacked libexpat1-dev:amd64 2.1.0-6+deb8u4
2018-04-30 04:29:13 install libaprutil1-dev:amd64 <none> 1.5.4-1
2018-04-30 04:29:13 status half-installed libaprutil1-dev:amd64 1.5.4-1
2018-04-30 04:29:13 status unpacked libaprutil1-dev:amd64 1.5.4-1
2018-04-30 04:29:13 status unpacked libaprutil1-dev:amd64 1.5.4-1
2018-04-30 04:29:13 install libaprutil1-ldap:amd64 <none> 1.5.4-1
